A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
203,Pb,82,6917 26,7 55,6095 31,6 64,18632 86,19 30
203,Bi,83,8854 66,19 99,2873 18,13 33,22401 24,14 22
203,Po,84,7440 59,12 25,3858 38,17 66,25972 61,39 09
203,At,85,9643 14,29 91,1509 91,13 66,*,43 11
203,Rn,86,7950 38,25 23,2851 94,33 36,*,54 19
203,Fr,87,10291 14,9 40,137 92,18 60,*,55 50
203,Ra,88,8484 45,40 98,1723 48,38 77,*,95 39
0204,Ir,77,3069 566,9336 566,14659 401,14111 566,10416 499,*
204,Pt,78,6367 277,10521 446,7188 196,9565 357,6839 277,2964 357
204,Au,79,5578 200,8313 280,4 200,12753 202,7955 206,4893 280
204,Hg,80,7492 20,1 65,8835 68,3 04,6348 90,11 02
204,Tl,81,6656 08,0 29,6365 85,1 25,12470 71,22 32
204,Pb,82,8394 65,6 46,6637 49,0 34,17139 70,7 36
204,Bi,83,7192 39,15 73,3148 31,11 28,21253 21,26 24
204,Po,84,9101 67,14 01,4105 39,16 86,24398 03,18 79
204,At,85,7784 19,24 67,1853 51,23 91,*,99 23
204,Rn,86,9887 81,19 62,3096 61,12 91,*,34 28
204,Fr,87,8340 42,25 36,527 96,30 57,*,75 30
204,Ra,88,10676 26,41 07,2108 60,16 50,*,36 16
0205,Ir,77,4343 643,*,503 12391,643 11992,643 *,
205,Pt,78,3116 357,10568 499,10804 298,12434 499,8674 422,5767 499
205,Au,79,6191 280,8137 277,2295 196,11568 277,8787 197,3653 357
205,Hg,80,5668 91,3 62,8927 200,4766 34,10 70,11566 50
205,Tl,81,7546 05,0 48,6419 70,1 27,10848 93,15 12
205,Pb,82,6731 66,0 11,6713 06,0 21,16060 45,5 13
205,Bi,83,8489 93,10 51,3243 58,5 11,19754 69,9 35
205,Po,84,7251 47,14 91,4164 47,13 62,23360 39,71 23
205,At,85,9167 83,26 91,1919 67,18 66,27078 64,53 01
205,Rn,86,7810 91,8 97,3123 32,22 86,*,58 11
205,Fr,87,9988 44,25 80,628 59,10 80,*,69 19
205,Ra,88,8289 11,72 16,2057 29,74 68,*,38 70
205,Ac,89,*,94 53,06 *,16155 77,63 53,9895 89
0206,Pt,78,4737 422,10961 585,14154 298,10767 499,9922 499,3655 499
206,Au,79,3516 357,8537 422,5814 298,14418 357,10276 357,6121 499
206,Hg,80,6729 38,20 74,9465 197,2757 13,20 82,10415 201
206,Tl,81,6503 81,0 39,7254 60,3 74,9823 65,15 10
206,Pb,82,8086 66,0 06,7253 68,0 50,14652 62,8 58
206,Bi,83,7035 09,9 11,3547 01,7 55,18785 86,29 21
206,Po,84,8738 59,10 83,4413 14,6 48,21754 21,18 44
206,At,85,7529 09,21 25,2197 29,18 11,25909 17,52 69
206,Rn,86,9494 50,9 96,3449 99,17 35,*,27 23
206,Fr,87,8003 92,29 26,821 60,28 65,*,58 29
206,Ra,88,10344 77,72 78,2413 62,19 63,*,04 30
206,Ac,89,8698 56,71 64,351 49,86 73,*,47 52
0207,Pt,78,2980 499,*,401 12130,643 10011,566 *,
207,Au,79,4667 423,8467 423,9245 300,12867 423,11976 358,4524 500
207,Hg,80,3612 96,36 14,9562 300,658 33,30 54,12993 198
207,Tl,81,6852 40,5 43,7377 62,21 11,7807 04,13 53
207,Pb,82,6737 78,0 10,7487 65,0 62,13817 28,8 57
207,Bi,83,8097 67,7 84,3558 01,2 12,17210 29,17 67
207,Po,84,7028 42,7 75,4406 47,10 00,20690 26,53 61
207,At,85,8869 02,19 49,2327 71,13 04,24373 65,51 89
