N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
23,,94,71,Lu,-56442,-56442.242,26.539,8076.7,45    0.161 B-  -4806
21,,93,72,Hf,-51635,,27.945,8042.8,72    0.169 B-  -5787
19,,92,73,Ta,-45847,-45847.853,13.863,8003.0,54    0.084 B-  -6986
17,,91,74,W,-38861,-38861.022,24.977,7955.9,68    0.151 B-  -8201
15,,90,75,Re,-30659,,23.594,7901.5,22    0.143 B-  -8865
13,,89,76,Os,-a,,196#,7843#,1#    B- -10202
11,,88,77,Ir,-11593,,158#,7776#,1#    B-      *
0 42,1.0,4,62,Sm,-40730,,400#,8024#,2#    B-   6478
40,1.0,3,63,Eu,-47208,,358#,8059#,2#    B-   7322
38,1.0,2,64,Gd,-54530,,196#,8098#,1#    B-   3355
36,1.0,1,65,Tb,-57884,,70.005,8113.6,80    0.422 B-   4700
34,1.0,0,66,Dy,-n,,0.867,8137.2,80    0.005 B-    486
32,,99,67,Ho,-63071,-63071.329,1.010,8135.4,99    0.006 B-   1854
30,,98,68,Er,-64926,-64926.042,1.165,8141.9,59    0.007 B-  -3037
28,,97,69,Tm,-61888,,11.606,8118.9,46    0.070 B-   -292
26,,96,70,Yb,-61595,,7.101,8112.4,71    0.043 B-  -5574
24,,95,71,Lu,-56020,,29.808,8074.1,75    0.180 B-  -2161
22,,94,72,Hf,-53858,,27.945,8056.4,38    0.168 B-  -7761
20,,93,73,Ta,-46097,,27.945,8004.9,71    0.168 B-  -4209
18,,92,74,W,-41888,-41888.031,9.478,7974.8,98    0.057 B-  -9994
16,,91,75,Re,-a,,72.310,7909.9,77    0.436 B-  -6461
14,,90,76,Os,-25431,-25431.517,17.966,7866.3,36    0.108 B- -12078
12,,89,77,Ir,-p,,196#,7789#,1#    B-  -8624
10,,88,78,Pt,-a,,300#,7732#,2#    B-      *
0 41,1.0,4,63,Eu,-44010,,400#,8040#,2#    B-   6803
39,1.0,3,64,Gd,-50813,,298#,8076#,2#    B-   5114
37,1.0,2,65,Tb,-55927,,196#,8102#,1#    B-   4004
35,1.0,1,66,Dy,-59930,,60.228,8120.9,92    0.361 B-   2350
33,1.0,0,67,Ho,-62280,,5.234,8130.3,79    0.031 B-   1010
31,,99,68,Er,-63291,-63291.18,1.166,8131.7,46    0.007 B-   -747
29,,98,69,Tm,-62543,-62543.641,1.298,8122.5,85    0.008 B-  -1953
27,,97,70,Yb,-60590,-60590.576,3.981,8106.2,05    0.024 B-  -3089
25,,96,71,Lu,-57501,,31.671,8083.0,21    0.190 B-  -4033
23,,95,72,Hf,-53467,,27.945,8054.1,84    0.167 B-  -5116
21,,94,73,Ta,-48351,,27.945,8018.8,61    0.167 B-  -6253
19,,93,74,W,-42098,-42098.058,18.261,7976.7,33    0.109 B-  -7267
17,,92,75,Re,-34831,,40#,7929#,0#    B-  -8329
15,,91,76,Os,-a,,72.682,7873.9,74    0.435 B-  -9429
13,,90,77,Ir,-17072,-17072.44,18.346,7812.8,25    0.110 B- -10460
11,,89,78,Pt,-a,,302#,7746#,2#    B-      *
0 42,1.0,5,63,Eu,-39740,,500#,8014#,3#    B-   8623
40,1.0,4,64,Gd,-48363,,401#,8061#,2#    B-   4359
38,1.0,3,65,Tb,-52723,,298#,8082#,2#    B-   5837
36,1.0,2,66,Dy,-58559,,140.009,8112.5,36    0.833 B-   1501
34,1.0,1,67,Ho,-60061,,30.023,8116.8,17    0.179 B-   2930
32,1.0,0,68,Er,-62991,-62991.171,1.168,8129.6,01    0.007 B-  -1678
30,,99,69,Tm,-61312,-61312.921,1.709,8114.9,54    0.010 B-    268
28,,98,70,Yb,-61581,-61581.901,1.195,8111.8,98    0.007 B-  -4514
26,,97,71,Lu,-57067,,39.266,8080.3,72    0.234 B-  -1707
24,,96,72,Hf,-55360,,27.945,8065.5,53    0.166 B-  -6966
22,,95,73,Ta,-48393,,27.945,8019.4,28    0.166 B-  -3500
20,,94,74,W,-44893,-44893.109,13.271,7993.9,33    0.079 B-  -9098
18,,93,75,Re,-a,,30.821,7935.1,20    0.183 B-  -5799
16,,92,76,Os,-29995,-29995.213,9.904,7895.9,41    0.059 B- -11328
14,,91,77,Ir,-a,,55.216,7823.8,50    0.329 B-  -7658
12,,90,78,Pt,-a,,149.951,7773.6,05    0.893 B-      *
0 41,1.0,5,64,Gd,-44153,,503#,8036#,3#    B-   6176
39,1.0,4,65,Tb,-50329,,298#,8068#,2#    B-   5269
37,1.0,3,66,Dy,-55597,,300.670,8094.7,63    1.779 B-   3200
35,1.0,2,67,Ho,-58797,,20.060,8109.0,68    0.119 B-   2125
33,1.0,1,68,Er,-n,,1.179,8117.0,19    0.007 B-    352
31,1.0,0,69,Tm,-61275,-61275.212,0.812,8114.4,73    0.005 B-   -897
29,,99,70,Yb,-n,,1.205,8104.5,32    0.007 B-  -2293
27,,98,71,Lu,-58084,,3.233,8086.3,35    0.019 B-  -3367
25,,97,72,Hf,-54716,,27.945,8061.7,78    0.165 B-  -4426
23,,96,73,Ta,-50290,,27.945,8030.9,57    0.165 B-  -5372
21,,95,74,W,-44917,-44917.873,15.436,7994.5,37    0.091 B-  -6508
19,,94,75,Re,-38409,,11.374,7951.3,95    0.067 B-  -7686
17,,93,76,Os,-a,,25.167,7901.2,84    0.149 B-  -8628
15,,92,77,Ir,-22093,,23.308,7845.5,96    0.138 B-  -9581
13,,91,78,Pt,-a,,196#,7784#,1#    B- -10724
11,,90,79,Au,-1788,,298#,7716#,2#    B-      *
0 42,1.0,6,64,Gd,-41380,,596#,8020#,4#    B-   5344
40,1.0,5,65,Tb,-46724,,401#,8047#,2#    B-   6940
38,1.0,4,66,Dy,-53663,,196#,8083#,1#    B-   2575
36,1.0,3,67,Ho,-56238,,50.024,8093.7,96    0.294 B-   3870
34,1.0,2,68,Er,-60108,-60108.681,1.546,8111.9,59    0.009 B-   -312
32,1.0,1,69,Tm,-59795,-59795.853,0.801,8105.5,17    0.005 B-    968
30,1.0,0,70,Yb,-60763,-60763.919,0.010,8106.6,09    0.000 B-  -3457
28,,99,71,Lu,-57306,,16.843,8081.6,68    0.099 B-  -1052
26,,98,72,Hf,-56253,,27.945,8070.8,75    0.164 B-  -6116
24,,97,73,Ta,-50137,,27.945,8030.2,96    0.164 B-  -2846
22,,96,74,W,-47290,-47290.832,13.195,8008.9,48    0.078 B-  -8377
20,,95,75,Re,-38913,-38913.193,23.109,7955.0,65    0.136 B-  -4986
18,,94,76,Os,-33926,-33926.247,9.773,7921.1,28    0.057 B- -10567
16,,93,77,Ir,-a,,89#,7854#,1#    B-  -7060
14,,92,78,Pt,-16299,-16299.193,18.247,7808.2,36    0.107 B- -12547
12,,91,79,Au,-p,,196#,7730#,1#    B-      *
0 41,1.0,6,65,Tb,-44032,,503#,8031#,3#    B-   6157
39,1.0,5,66,Dy,-50189,,298#,8063#,2#    B-   4330
37,1.0,4,67,Ho,-54518,,600.002,8083.6,08    3.509 B-   3200
35,1.0,3,68,Er,-57718,-57718.956,1.557,8097.7,46    0.009 B-   1491
33,1.0,2,69,Tm,-59210,-59210.298,0.972,8101.8,93    0.006 B-     96
31,1.0,1,70,Yb,-59306,-59306.81,0.013,8097.8,82    0.000 B-  -1478
29,1.0,0,71,Lu,-57828,-57828.395,1.862,8084.6,61    0.011 B-  -2397
27,,99,72,Hf,-55431,,28.876,8066.0,68    0.169 B-  -3711
25,,98,73,Ta,-51720,,27.945,8039.7,91    0.163 B-  -4634
23,,97,74,W,-47086,,27.945,8008.1,15    0.163 B-  -5835
21,,96,75,Re,-41250,,27.945,7969.4,12    0.163 B-  -6948
19,,95,76,Os,-34301,-34301.942,17.823,7924.2,04    0.104 B-  -7889
17,,94,77,Ir,-a,,38.466,7873.4,89    0.225 B-  -8942
15,,93,78,Pt,-a,,72.747,7816.6,19    0.425 B-  -9907
13,,92,79,Au,-p,,20.713,7754.1,06    0.121 B- -11043
11,,91,80,Hg,-a,,303#,7685#,2#    B-      *
0 42,1.0,7,65,Tb,-39850,,503#,8007#,3#    B-   8159
40,1.0,6,66,Dy,-48009,,298#,8050#,2#    B-   3474
38,1.0,5,67,Ho,-51484,,196#,8066#,1#    B-   5000
36,1.0,4,68,Er,-56483,-56483.612,4.008,8090.4,10    0.023 B-    890
34,1.0,3,69,Tm,-57374,-57374.379,5.503,8091.0,41    0.032 B-   1881
32,1.0,2,70,Yb,-59255,-59255.446,0.014,8097.4,29    0.000 B-  -2519
30,1.0,1,71,Lu,-56735,-56735.98,2.336,8078.2,32    0.014 B-   -333
28,1.0,0,72,Hf,-56402,,24.428,8071.7,43    0.142 B-  -5072
26,,99,73,Ta,-51329,,27.945,8037.7,05    0.162 B-  -2232
24,,98,74,W,-49097,,27.945,8020.1,75    0.162 B-  -7560
22,,97,75,Re,-41537,-41537.106,38.995,7971.6,72    0.227 B-  -4293
20,,96,76,Os,-37243,-37243.842,12.782,7942.1,63    0.074 B-  -9864
18,,95,77,Ir,-a,,32.402,7880.2,63    0.188 B-  -6272
16,,94,78,Pt,-21106,-21106.92,10.377,7839.2,47    0.060 B- -11788
14,,93,79,Au,-a,,56.158,7766.1,58    0.326 B-  -8259
12,,92,80,Hg,-a,,150.079,7713.5,91    0.873 B-      *
0 41,1.0,7,66,Dy,-43939,,401#,8027#,2#    B-   5412
39,1.0,6,67,Ho,-49351,,298#,8054#,2#    B-   4304
37,1.0,5,68,Er,-53654,,196#,8074#,1#    B-   2602
35,1.0,4,69,Tm,-56256,,4.400,8084.4,63    0.025 B-   1295
33,1.0,3,70,Yb,-57551,-57551.225,0.011,8087.4,27    0.000 B-   -670
31,1.0,2,71,Lu,-56880,-56880.916,1.567,8079.0,30    0.009 B-  -1469
29,1.0,1,72,Hf,-55411,,27.945,8066.0,16    0.162 B-  -3015
27,1.0,0,73,Ta,-52396,,27.945,8044.0,64    0.162 B-  -3669
25,,99,74,W,-48727,,27.945,8018.3,33    0.162 B-  -5173
23,,98,75,Re,-43553,,27.945,7983.9,06    0.162 B-  -6115
21,,97,76,Os,-37438,-37438.257,14.959,7944.0,33    0.086 B-  -7169
19,,96,77,Ir,-30268,-30268.435,11.026,7898.0,67    0.064 B-  -8325
17,,95,78,Pt,-a,,55.977,7845.4,20    0.324 B-  -9110
15,,94,79,Au,-12832,,22.784,7788.2,37    0.132 B- -10123
13,,93,80,Hg,-a,,196#,7725#,1#    B-      *
0 42,1.0,8,66,Dy,-41370,,503#,8012#,3#    B-   4319
40,1.0,7,67,Ho,-45690,,298#,8033#,2#    B-   6260
38,1.0,6,68,Er,-51949,,298#,8064#,2#    B-   1915
36,1.0,5,69,Tm,-53864,,44.721,8070.6,42    0.257 B-   3080
34,1.0,4,70,Yb,-56944,-56944.512,0.011,8083.8,47    0.000 B-  -1374
32,1.0,3,71,Lu,-55570,-55570.195,1.567,8071.4,53    0.009 B-    274
30,1.0,2,72,Hf,-55844,-55844.481,2.259,8068.5,33    0.013 B-  -4103
28,1.0,1,73,Ta,-51740,,27.945,8040.4,52    0.161 B-  -1513
26,1.0,0,74,W,-50227,,27.945,8027.2,56    0.161 B-  -6553
24,,99,75,Re,-43673,,27.945,7985.0,94    0.161 B-  -3677
22,,98,76,Os,-39995,-39995.416,10.254,7959.4,61    0.059 B-  -9131
20,,97,77,Ir,-30863,-30863.492,24.322,7902.4,83    0.140 B-  -5545
18,,96,78,Pt,-a,,10.351,7866.1,17    0.059 B- -11083
16,,95,79,Au,-a,,89#,7798#,1#    B-  -7594
14,,94,80,Hg,-a,,19.211,7749.7,84    0.110 B-      *
0 41,1.0,8,67,Ho,-43203,,401#,8019#,2#    B-   5449
39,1.0,7,68,Er,-48652,,401#,8045#,2#    B-   3659
37,1.0,6,69,Tm,-52310,,50.000,8061.7,66    0.286 B-   2385
35,1.0,5,70,Yb,-54695,-54695.549,0.071,8070.9,25    0.000 B-    470
33,1.0,4,71,Lu,-55165,-55165.582,1.207,8069.1,40    0.007 B-   -683
31,1.0,3,72,Hf,-54481,-54481.662,2.282,8060.7,61    0.013 B-  -2073
29,1.0,2,73,Ta,-52408,,27.945,8044.4,45    0.160 B-  -2775
27,1.0,1,74,W,-49632,,27.945,8024.1,12    0.160 B-  -4344
25,1.0,0,75,Re,-45288,,27.945,7994.8,16    0.160 B-  -5182
23,,99,76,Os,-40105,-40105.376,11.775,7960.7,29    0.067 B-  -6710
21,,98,77,Ir,-33394,-33394.506,12.384,7917.9,10    0.071 B-  -7681
19,,97,78,Pt,-25713,-25713.466,18.185,7869.5,48    0.104 B-  -8309
17,,96,79,Au,-a,,38.640,7817.5,95    0.221 B-  -9431
15,,95,80,Hg,-a,,72.896,7759.2,31    0.417 B-      *
0 42,1.0,9,67,Ho,-39290,,503#,7997#,3#    B-   7340
40,1.0,8,68,Er,-46631,,401#,8034#,2#    B-   2741
38,1.0,7,69,Tm,-49371,,100.000,8045.1,21    0.568 B-   4120
36,1.0,6,70,Yb,-53491,-53491.314,0.015,8064.0,85    0.000 B-   -109
34,1.0,5,71,Lu,-53382,-53382.236,1.212,8059.0,20    0.007 B-   1194
32,1.0,4,72,Hf,-54576,-54576.321,1.481,8061.3,59    0.008 B-  -3210
30,1.0,3,73,Ta,-51365,,30.739,8038.6,70    0.175 B-   -723
28,1.0,2,74,W,-50641,,27.945,8030.1,12    0.159 B-  -5578
26,1.0,1,75,Re,-45062,,27.945,7993.9,70    0.159 B-  -2964
24,1.0,0,76,Os,-42097,,27.945,7972.6,79    0.159 B-  -8219
22,,99,77,Ir,-33878,-33878.326,16.750,7921.5,31    0.095 B-  -4944
20,,98,78,Pt,-28933,-28933.867,12.724,7888.9,92    0.072 B- -10412
18,,97,79,Au,-a,,33.185,7825.3,83    0.189 B-  -6736
16,,96,80,Hg,-11784,-11784.95,11.119,7782.6,65    0.063 B- -12366
14,,95,81,Tl,-p,,75.086,7707.9,55    0.427 B-      *
0 41,1.0,9,68,Er,-42858,,503#,8013#,3#    B-   4611
39,1.0,8,69,Tm,-47469,,298#,8035#,2#    B-   3517
37,1.0,7,70,Yb,-n,,0.220,8049.9,73    0.001 B-   1397
35,1.0,6,71,Lu,-52383,-52383.806,1.220,8053.4,48    0.007 B-    496
33,1.0,5,72,Hf,-52880,-52880.616,1.408,8051.8,35    0.008 B-  -1166
31,1.0,4,73,Ta,-51714,,3.314,8040.8,27    0.019 B-  -2012
29,1.0,3,74,W,-49701,,27.945,8025.0,35    0.158 B-  -3432
27,1.0,2,75,Re,-46269,,27.945,8001.2,22    0.158 B-  -4312
25,1.0,1,76,Os,-41956,,14.613,7972.4,36    0.083 B-  -5909
23,1.0,0,77,Ir,-36047,,19.760,7934.6,32    0.112 B-  -6676
21,,99,78,Pt,-29370,-29370.444,14.988,7892.4,89    0.085 B-  -7825
19,,98,79,Au,-21545,-21545.103,10.496,7843.8,58    0.059 B-  -8762
17,,97,80,Hg,-a,,75.056,7789.9,32    0.424 B-  -9442
15,,96,81,Tl,-3340,,21.629,7732.1,67    0.122 B-      *
0 42,1.0,10,68,Er,-40260,,596#,7999#,3#    B-   3855
40,1.0,9,69,Tm,-44116,,401#,8016#,2#    B-   5580
38,1.0,8,70,Yb,-nn,,10.000,8042.8,41    0.056 B-    642
36,1.0,7,71,Lu,-50337,-50337.784,2.251,8042.0,54    0.013 B-   2097
34,1.0,6,72,Hf,-52435,-52435.236,1.412,8049.4,42    0.008 B-  -1837
32,1.0,5,73,Ta,-50598,,52#,8035#,0#    B-   -191
30,1.0,4,74,W,-50406,,15.199,8029.2,57    0.085 B-  -4753
28,1.0,3,75,Re,-45653,,27.945,7998.1,57    0.157 B-  -2109
26,1.0,2,76,Os,-43544,-43544.27,13.632,7981.9,12    0.077 B-  -7292
24,1.0,1,77,Ir,-36251,,19.760,7936.5,49    0.111 B-  -4254
22,1.0,0,78,Pt,-31997,-31997.519,10.133,7908.2,52    0.057 B-  -9693
20,,99,79,Au,-22303,-22303.743,10.086,7849.3,98    0.057 B-  -5987
18,,98,80,Hg,-a,,10.770,7811.3,63    0.061 B- -11526
16,,97,81,Tl,-a,,89#,7742#,1#    B-  -8365
14,,96,82,Pb,-a,,23.963,7690.8,30    0.135 B-      *
0 41,1.0,10,69,Tm,-41601,,503#,8002#,3#    B-   4937
39,1.0,9,70,Yb,-46537,,196#,8025#,1#    B-   2521
37,1.0,8,71,Lu,-49058,-49058.918,5.150,8035.0,73    0.029 B-   1403
35,1.0,7,72,Hf,-50462,-50462.907,1.413,8038.5,46    0.008 B-   -105
33,1.0,6,73,Ta,-50357,-50357.323,1.463,8033.5,85    0.008 B-  -1062
31,1.0,5,74,W,-49295,-49295.127,14.573,8023.2,81    0.081 B-  -2710
29,1.0,4,75,Re,-46584,-46584.28,24.639,8003.7,66    0.138 B-  -3564
27,1.0,3,76,Os,-43019,-43019.495,16.504,7979.4,80    0.092 B-  -4937
25,1.0,2,77,Ir,-38081,-38081.714,9.771,7947.5,24    0.055 B-  -5813
23,1.0,1,78,Pt,-32268,-32268.145,7.977,7910.6,75    0.045 B-  -7279
21,1.0,0,79,Au,-24988,-24988.567,11.696,7865.6,37    0.065 B-  -8060
19,,99,80,Hg,-16928,-16928.134,27.267,7816.2,36    0.152 B-  -8659
17,,98,81,Tl,-a,,38.793,7763.4,87    0.217 B- -10319
15,,97,82,Pb,-a,,75.590,7701.4,68    0.422 B-      *
0 42,1.0,11,69,Tm,-37920,,503#,7982#,3#    B-   6680
40,1.0,10,70,Yb,-44600,,298#,8015#,2#    B-   2076
38,1.0,9,71,Lu,-46676,,70.725,8022.0,38    0.393 B-   3103
36,1.0,8,72,Hf,-49779,-49779.348,1.419,8034.9,30    0.008 B-   -846
34,1.0,7,73,Ta,-48932,,1.939,8025.8,81    0.011 B-    703
32,1.0,6,74,W,-49636,-49636.115,1.436,8025.4,42    0.008 B-  -3798
30,1.0,5,75,Re,-45837,,21.392,7999.9,91    0.119 B-  -1479
28,1.0,4,76,Os,-44357,-44357.81,16.391,7987.4,25    0.091 B-  -6380
26,1.0,3,77,Ir,-37977,,21.706,7947.6,33    0.121 B-  -3541
24,1.0,2,78,Pt,-34435,,10.974,7923.6,11    0.061 B-  -8810
22,1.0,1,79,Au,-25625,-25625.509,4.786,7870.3,18    0.027 B-  -5375
20,1.0,0,80,Hg,-20250,-20250.447,12.649,7836.1,10    0.070 B- -10863
18,,99,81,Tl,-a,,60.010,7771.4,09    0.333 B-  -7445
16,,98,82,Pb,-a,,12.396,7725.7,00    0.069 B-      *
0 43,1.0,12,69,Tm,-35170,,596#,7967#,3#    B-   5918
41,1.0,11,70,Yb,-41088,,298#,7996#,2#    B-   3709
39,1.0,10,71,Lu,-44797,,125.752,8011.9,29    0.695 B-   2605
37,1.0,9,72,Hf,-n,,1.420,8022.0,02    0.008 B-   1035
35,1.0,8,73,Ta,-48438,-48438.311,1.403,8023.4,00    0.008 B-   -204
33,1.0,7,74,W,-n,,1.445,8017.9,48    0.008 B-  -1716
31,1.0,6,75,Re,-46517,,12.549,8004.1,43    0.069 B-  -2967
29,1.0,5,76,Os,-43549,-43549.963,25.338,7983.4,26    0.140 B-  -4086
27,1.0,4,77,Ir,-39463,,5.245,7956.5,23    0.029 B-  -5081
25,1.0,3,78,Pt,-34381,-34381.511,13.689,7924.1,26    0.076 B-  -6510
23,1.0,2,79,Au,-a,,19.976,7883.8,35    0.110 B-  -7210
21,1.0,1,80,Hg,-20661,-20661.136,15.382,7839.6,79    0.085 B-  -7862
19,1.0,0,81,Tl,-12798,-12798.735,9.108,7791.9,18    0.050 B-  -9681
17,,99,82,Pb,-a,,75.411,7734.1,07    0.417 B-      *
0 42,1.0,12,70,Yb,-38820,,401#,7984#,2#    B-   3060
40,1.0,11,71,Lu,-41880,,196#,7996#,1#    B-   4170
38,1.0,10,72,Hf,-nn,,6.165,8014.8,37    0.034 B-    380
36,1.0,9,73,Ta,-46429,-46429.934,1.405,8012.6,28    0.008 B-   1816
34,1.0,8,74,W,-48246,-48246.06,0.738,8018.3,08    0.004 B-  -2800
32,1.0,7,75,Re,-45446,,101.983,7998.6,25    0.560 B-   -836
30,1.0,6,76,Os,-44609,-44609.104,21.745,7989.7,28    0.119 B-  -5557
28,1.0,5,77,Ir,-39051,-39051.679,20.967,7954.8,94    0.115 B-  -2883
26,1.0,4,78,Pt,-36168,-36168.449,13.095,7934.7,54    0.072 B-  -7867
24,1.0,3,79,Au,-a,,20.260,7887.2,26    0.111 B-  -4723
22,1.0,2,80,Hg,-23576,-23576.922,9.790,7856.9,72    0.054 B- -10248
20,1.0,1,81,Tl,-a,,11.839,7796.3,60    0.065 B-  -6502
18,1.0,0,82,Pb,-a,,12.098,7756.3,32    0.066 B-      *
0 43,1.0,13,70,Yb,-35100,,401#,7964#,2#    B-   4616
41,1.0,12,71,Lu,-39716,,80.108,7984.8,12    0.438 B-   3566
39,1.0,11,72,Hf,-43282,,30.034,8000.0,27    0.164 B-   2010
37,1.0,10,73,Ta,-n,,1.419,8006.7,35    0.008 B-   1072
35,1.0,9,74,W,-46365,-46365.58,0.737,8008.3,22    0.004 B-   -556
33,1.0,8,75,Re,-45809,,8.034,8001.0,09    0.044 B-  -2145
31,1.0,7,76,Os,-43664,-43664.043,49.760,7985.0,10    0.272 B-  -3460
29,1.0,6,77,Ir,-40203,-40203.311,24.398,7961.8,23    0.133 B-  -4430
27,1.0,5,78,Pt,-35772,-35772.487,15.533,7933.3,36    0.085 B-  -5581
25,1.0,4,79,Au,-30191,-30191.483,9.423,7898.5,64    0.051 B-  -6386
23,1.0,3,80,Hg,-23804,-23804.674,7.084,7859.3,88    0.039 B-  -7217
21,1.0,2,81,Tl,-16587,-16587.257,9.331,7815.6,73    0.051 B-  -9012
19,1.0,1,82,Pb,-a,,28.151,7762.1,52    0.154 B-      *
0 44,1.0,14,70,Yb,-32540,,503#,7951#,3#    B-   3872
42,1.0,13,71,Lu,-36412,,298#,7967#,2#    B-   5087
40,1.0,12,72,Hf,-41499,,39.706,7990.7,22    0.216 B-   1340
38,1.0,11,73,Ta,-42839,,26.010,7993.7,52    0.141 B-   2866
36,1.0,10,74,W,-45705,-45705.373,0.731,8005.0,77    0.004 B-  -1485
34,1.0,9,75,Re,-44219,-44219.634,4.275,7992.7,50    0.023 B-     32
32,1.0,8,76,Os,-44252,-44252.533,0.827,7988.6,77    0.005 B-  -4641
30,1.0,7,77,Ir,-39610,,27.945,7959.1,98    0.152 B-  -2276
28,1.0,6,78,Pt,-37334,-37334.243,15.584,7942.5,74    0.085 B-  -7015
26,1.0,5,79,Au,-a,,22.275,7900.1,94    0.121 B-  -3969
24,1.0,4,80,Hg,-26348,-26348.965,10.062,7874.3,67    0.055 B-  -9465
22,1.0,3,81,Tl,-16883,-16883.242,10.020,7818.6,71    0.054 B-  -5831
20,1.0,2,82,Pb,-11051,-11051.522,12.806,7782.7,25    0.070 B- -12114
18,1.0,1,83,Bi,-a,,78.110,7712.6,33    0.425 B-      *
0 45,1.0,15,70,Yb,-28500,,503#,7929#,3#    B-   5388
43,1.0,14,71,Lu,-33888,,298#,7954#,2#    B-   4432
41,1.0,13,72,Hf,-38319,,64.273,7973.9,70    0.347 B-   3074
39,1.0,12,73,Ta,-41394,,14.161,7986.3,60    0.077 B-   1993
37,1.0,11,74,W,-43387,-43387.793,0.733,7992.9,07    0.004 B-    431
35,1.0,10,75,Re,-43819,-43819.027,0.818,7991.0,09    0.004 B-  -1013
33,1.0,9,76,Os,-42805,-42805.88,0.830,7981.3,04    0.004 B-  -2470
31,1.0,8,77,Ir,-40335,,27.945,7963.7,22    0.151 B-  -3647
29,1.0,7,78,Pt,-36688,-36688.14,25.832,7939.7,77    0.140 B-  -4829
27,1.0,6,79,Au,-31858,,2.608,7909.4,40    0.014 B-  -5674
25,1.0,5,80,Hg,-26183,-26183.666,13.639,7874.5,38    0.074 B-  -6425
23,1.0,4,81,Tl,-19757,,20.674,7835.5,75    0.112 B-  -8216
21,1.0,3,82,Pb,-a,,16.175,7786.9,32    0.087 B-  -9305
19,1.0,2,83,Bi,-2236,,81#,7732#,0#    B-      *
0 44,1.0,15,71,Lu,-30210,,401#,7935#,2#    B-   6214
42,1.0,14,72,Hf,-36424,,51.232,7964.3,02    0.275 B-   2183
40,1.0,13,73,Ta,-38607,,60.012,7971.8,35    0.323 B-   3901
38,1.0,12,74,W,-42508,-42508.528,1.212,7988.6,01    0.007 B-   -581
36,1.0,11,75,Re,-41927,-41927.086,0.826,7981.2,69    0.004 B-   1072
34,1.0,10,76,Os,-42999,-42999.943,0.761,7982.8,31    0.004 B-  -3827
32,1.0,9,77,Ir,-39172,,16.526,7958.0,47    0.089 B-  -1307
30,1.0,8,78,Pt,-37864,-37864.443,21.745,7946.8,09    0.117 B-  -6149
28,1.0,7,79,Au,-31714,-31714.852,20.967,7909.5,40    0.113 B-  -3175
26,1.0,6,80,Hg,-28539,-28539.097,11.650,7888.2,60    0.063 B-  -8652
24,1.0,5,81,Tl,-19886,,22.356,7837.5,35    0.120 B-  -5204
22,1.0,4,82,Pb,-a,,11.363,7805.3,47    0.061 B- -11535
20,1.0,3,83,Bi,-a,,16.857,7739.1,21    0.091 B-  -7247
18,1.0,2,84,Po,-a,,18.286,7695.9,51    0.098 B-      *
0 45,1.0,16,71,Lu,-27580,,401#,7922#,2#    B-   5237
43,1.0,15,72,Hf,-32817,,298#,7946#,2#    B-   4079
41,1.0,14,73,Ta,-36895,,55.890,7963.2,12    0.299 B-   3008
39,1.0,13,74,W,-39903,-39903.97,1.212,7975.1,16    0.006 B-   1312
37,1.0,12,75,Re,-41216,-41216.478,0.736,7977.9,51    0.004 B-      2
35,1.0,11,76,Os,-41218,-41218.945,0.736,7973.7,80    0.004 B-  -1669
33,1.0,10,77,Ir,-39549,,27.945,7960.6,68    0.149 B-  -2864
31,1.0,9,78,Pt,-36685,-36685.05,24.048,7941.1,68    0.129 B-  -3657
29,1.0,8,79,Au,-33027,-33027.838,22.308,7917.4,27    0.119 B-  -4909
27,1.0,7,80,Hg,-28117,-28117.93,13.905,7886.9,87    0.074 B-  -5673
25,1.0,6,81,Tl,-22444,-22444.587,8.048,7852.4,64    0.043 B-  -7457
23,1.0,5,82,Pb,-14986,-14986.959,5.094,7808.4,00    0.027 B-  -8603
21,1.0,4,83,Bi,-a,,10.005,7758.2,08    0.054 B-  -9211
19,1.0,3,84,Po,-a,,31.898,7704.7,63    0.171 B-      *
0 46,1.0,17,71,Lu,-23790,,503#,7902#,3#    B-   7089
44,1.0,16,72,Hf,-30879,,298#,7936#,2#    B-   2733
42,1.0,15,73,Ta,-33612,,54.958,7946.3,21    0.292 B-   5055
40,1.0,14,74,W,-38667,,3.089,7969.0,52    0.016 B-    349
38,1.0,13,75,Re,-n,,0.738,7966.7,47    0.004 B-   2120
36,1.0,12,76,Os,-41137,-41137.233,0.734,7973.8,64    0.004 B-  -2792
34,1.0,11,77,Ir,-38344,-38344.907,9.423,7954.8,50    0.050 B-   -523
32,1.0,10,78,Pt,-37820,-37820.929,5.304,7947.9,02    0.028 B-  -5449
30,1.0,9,79,Au,-32371,,2.701,7914.7,53    0.014 B-  -2169
28,1.0,8,80,Hg,-30201,-30201.914,12.275,7899.0,52    0.065 B-  -7865
26,1.0,7,81,Tl,-22336,,29.904,7853.0,53    0.159 B-  -4521
24,1.0,6,82,Pb,-a,,10.622,7824.8,43    0.057 B- -10620
22,1.0,5,83,Bi,-a,,11.187,7764.1,89    0.060 B-  -6650
20,1.0,4,84,Po,-a,,19.973,7724.6,53    0.106 B-      *
0 45,1.0,17,72,Hf,-27162,,298#,7917#,2#    B-   4667
43,1.0,16,73,Ta,-31829,,196#,7938#,1#    B-   3788
41,1.0,15,74,W,-35617,,40.054,7953.4,54    0.212 B-   2361
