N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
43,1.0,32,89,Ac,-a,,50.425,7690.5,39    0.228 B-  -2417
41,1.0,31,90,Th,-a,,8.166,7676.0,61    0.037 B-  -3435
39,1.0,30,91,Pa,-a,,51.281,7656.9,74    0.232 B-  -4143
37,1.0,29,92,U,-a,,51.114,7634.6,84    0.231 B-  -5330
35,1.0,28,93,Np,,,200#,7607#,1#    B-      *
0 56,1.0,39,83,Bi,,,300#,7649#,1#    B-   6243
54,1.0,38,84,Po,,,40.054,7674.0,05    0.180 B-   1533
52,1.0,37,85,At,,,15.835,7677.3,87    0.071 B-   4580
50,1.0,36,86,Rn,,16372.206,1.950,7694.4,97    0.009 B-     -5
48,1.0,35,87,Fr,,,7.452,7690.9,47    0.034 B-   2057
46,1.0,34,88,Ra,,14320.188,4.454,7696.6,92    0.020 B-  -2301
44,1.0,33,89,Ac,-a,,5.174,7682.8,02    0.023 B-   -581
42,1.0,32,90,Th,-a,,12.279,7676.6,58    0.055 B-  -4951
40,1.0,31,91,Pa,-a,,72#,7651#,0#    B-  -2118
38,1.0,30,92,U,-a,,51.994,7637.7,64    0.234 B-  -6746
36,1.0,29,93,Np,,,196#,7604#,1#    B-      *
0 57,1.0,40,83,Bi,,,401#,7636#,2#    B-   5058
55,1.0,39,84,Po,,,196#,7655#,1#    B-   3651
53,1.0,38,85,At,,,13.972,7668.0,55    0.063 B-   3038
51,1.0,37,86,Rn,,20389.739,7.822,7678.1,71    0.035 B-   2007
49,1.0,36,87,Fr,,18382.394,1.932,7683.6,64    0.009 B-   1149
47,1.0,35,88,Ra,,17233.309,2.090,7685.3,09    0.009 B-   -592
45,1.0,34,89,Ac,-a,,7.110,7679.1,43    0.032 B-  -1559
43,1.0,33,90,Th,-a,,9.212,7668.6,40    0.041 B-  -2934
41,1.0,32,91,Pa,-a,,71.063,7651.9,71    0.319 B-  -3516
39,1.0,31,92,U,-a,,71.119,7632.6,94    0.319 B-  -4763
37,1.0,30,93,Np,,,196#,7608#,1#    B-      *
0 58,1.0,41,83,Bi,,,400#,7617#,2#    B-   6920
56,1.0,40,84,Po,,,196#,7644#,1#    B-   2199
54,1.0,39,85,At,,,22.356,7650.7,35    0.100 B-   5265
52,1.0,38,86,Rn,,22445.098,9.814,7670.7,51    0.044 B-    696
50,1.0,37,87,Fr,,,11.178,7670.3,67    0.050 B-   2922
48,1.0,36,88,Ra,,18825.917,1.813,7679.9,22    0.008 B-  -1408
46,1.0,35,89,Ac,-a,,4.089,7670.1,43    0.018 B-    240
44,1.0,34,90,Th,-a,,10.120,7667.7,24    0.045 B-  -3868
42,1.0,33,91,Pa,-a,,7.587,7646.9,61    0.034 B-  -1859
40,1.0,32,92,U,-a,,23.171,7635.1,65    0.103 B-  -6153
38,1.0,31,93,Np,,,196#,7604#,1#    B-      *
0 57,1.0,41,84,Po,,,298#,7626#,1#    B-   4136
55,1.0,40,85,At,,,298#,7641#,1#    B-   3861
53,1.0,39,86,Rn,,26534.141,11.140,7654.3,57    0.050 B-   2713
51,1.0,38,87,Fr,,23820.61,11.967,7662.9,40    0.053 B-   1827
49,1.0,37,88,Ra,,21993.109,2.596,7667.5,86    0.012 B-    355
47,1.0,36,89,Ac,,21637.346,4.758,7665.6,90    0.021 B-   -672
45,1.0,35,90,Th,-a,,5.093,7659.2,22    0.023 B-  -2030
43,1.0,34,91,Pa,-a,,71.012,7646.7,20    0.316 B-  -3039
41,1.0,33,92,U,-a,,10.909,7629.7,36    0.048 B-  -4207
39,1.0,32,93,Np,-a,,71.622,7607.5,57    0.318 B-      *
0 58,1.0,42,84,Po,,,401#,7614#,2#    B-   2934
56,1.0,41,85,At,,,298#,7624#,1#    B-   5867
54,1.0,40,86,Rn,,28747.192,10.477,7646.4,10    0.046 B-   1226
52,1.0,39,87,Fr,,27520.539,6.230,7648.3,76    0.028 B-   3852
50,1.0,38,88,Ra,,23667.824,1.933,7661.9,62    0.009 B-   -641
48,1.0,37,89,Ac,,24309.264,3.100,7655.6,62    0.014 B-   1111
46,1.0,36,90,Th,,23197.634,4.481,7657.1,19    0.020 B-  -2835
44,1.0,35,91,Pa,-a,,11.420,7641.1,10    0.051 B-  -1295
42,1.0,34,92,U,-a,,12.999,7631.9,16    0.058 B-  -5448
