A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
47,Sc,21,10646.0,2.0,8486.0,1.0,21770.0,31.0
47,Ti,22,8880.0,0.0,10465.0,0.0,38068.0,6845.0
47,V,23,13002.0,0.0,5167.0,0.0,52377.0,7714.0
48,Cl,17,2572.0,18939.0,40224.0,6091.0,4573.0,14234.0
48,Ar,18,4986.0,307.0,19791.0,26211.0,307.0,2288.0
48,K,19,4643.0,1.0,14207.0,1.0,12193.0,1.0
48,Ca,20,9951.0,2.0,15801.0,1.0,1402.0,7.0
48,Sc,21,8238.0,5.0,9448.0,5.0,15207.0,8.0
48,Ti,22,11626.0,0.0,11445.0,1.0,30493.0,3979.0
48,V,23,10542.0,0.0,6829.0,0.0,45977.0,10360.0
48,Cr,24,16330.0,9.0,8104.0,7.0,59615.0,4964.0
49,Cl,17,2851.0,19111.0,47501.0,4281.0,5464.0,16383.0
49,Ar,18,2980.0,20199.0,31374.0,3301.0,1534.0,11883.0
49,K,19,5398.0,1.0,14619.0,307.0,18350.0,1.0
49,Ca,20,5146.0,0.0,16304.0,0.0,4033.0,2.0
49,Sc,21,10128.0,5.0,9625.0,2.0,8940.0,3.0
49,Ti,22,8142.0,0.0,11348.0,4.0,23813.0,24.0
49,V,23,11555.0,1.0,6758.0,0.0,38082.0,7686.0
49,Cr,24,10582.0,7.0,8144.0,2.0,53533.0,7384.0
50,Ar,18,4211.0,21559.0,38102.0,1661.0,1314.0,15053.0
50,K,19,4187.0,7.0,15827.0,23496.0,7.0,7264.0
50,Ca,20,6360.0,1.0,17266.0,1.0,10672.0,1.0
50,Sc,21,6057.0,15.0,10536.0,15.0,1919.0,15.0
50,Ti,22,10939.0,0.0,12159.0,2.0,16955.0,8.0
50,V,23,9333.0,0.0,7949.0,0.0,31594.0,9979.0
50,Cr,24,13000.0,2.0,9589.0,0.0,46142.0,4926.0
51,Ar,18,1432.0,21719.0,43043.0,3081.0,2454.0,13805.0
51,K,19,4859.0,15.0,16475.0,29687.0,13.0,5384.0
51,Ca,20,4814.0,1.0,17893.0,7.0,15119.0,0.0
51,Sc,21,6752.0,25.0,10928.0,20.0,5015.0,20.0
51,Ti,22,6372.0,0.0,12474.0,15.0,9530.0,8.0
51,V,23,11051.0,0.0,8061.0,0.0,24861.0,48.0
51,Cr,24,9260.0,0.0,9516.0,0.0,39552.0,7221.0
52,K,19,2692.0,35.0,17737.0,34306.0,33.0,6903.0
52,Ca,20,6005.0,0.0,19039.0,13.0,21152.0,0.0
52,Sc,21,5285.0,84.0,11399.0,81.0,10264.0,81.0
52,Ti,22,7808.0,7.0,13530.0,21.0,1139.0,8.0
52,V,23,7311.0,0.0,8999.0,0.0,17082.0,8.0
52,Cr,24,12039.0,0.0,10504.0,0.0,33089.0,4515.0
52,Mn,25,10534.0,1.0,6544.0,1.0,48427.0,10265.0
53,K,19,3229.0,116.0,18305.0,39555.0,111.0,5105.0
53,Ca,20,3192.0,43.0,19539.0,55.0,25899.0,43.0
53,Sc,21,6534.0,124.0,11929.0,94.0,15783.0,94.0
53,Ti,22,5432.0,100.0,13676.0,129.0,4116.0,100.0
53,V,23,8478.0,3.0,9670.0,7.0,9191.0,3.0
53,Cr,24,7939.0,0.0,11132.0,0.0,25656.0,25.0
53,Mn,25,12054.0,1.0,6559.0,0.0,41420.0,7472.0
54,Ca,20,3844.0,65.0,20153.0,121.0,31774.0,48.0
54,Sc,21,3055.0,288.0,11792.0,276.0,21666.0,272.0
54,Ti,22,6862.0,129.0,14004.0,125.0,10632.0,82.0
54,V,23,6113.0,15.0,10351.0,101.0,1883.0,15.0
54,Cr,24,9719.0,0.0,12372.0,3.0,17656.0,4.0
54,Mn,25,8938.0,1.0,7559.0,1.0,34147.0,10572.0
54,Fe,26,13378.0,1.0,8853.0,0.0,49983.0,5163.0
55,Ca,20,1261.0,20637.0,36759.0,4656.0,3651.0,11424.0
55,Sc,21,4339.0,529.0,12287.0,456.0,27553.0,454.0
